"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"914","no checking account",11,"existing credits paid back duly till now","others",2142,"... >= 1000 DM","... >= 7 years",1,"male : divorced/separated","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"yes","yes",1
"915","... < 100 DM",24,"all credits at this bank paid back duly","others",3161,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/life insurance",31,"none","rent",1,"skilled employee/official",1,"yes","yes",0
"916","0 <= ... < 200 DM",48,"no credits taken/all credits paid back duly","furniture/equipment",18424,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",32,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","no",0
"917","no checking account",10,"existing credits paid back duly till now",NA,2848,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","co-applicant",2,"real estate",32,"none","own",1,"skilled employee/official",2,"no","yes",1
"918","... < 100 DM",6,"existing credits paid back duly till now","car (new)",14896,"... < 100 DM","... >= 7 years",1,"male : single","none",4,"unknown/no property",68,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"919","... < 100 DM",24,"existing credits paid back duly till now","radio/television",2359,"100 <= ... < 500 DM","unemployed",1,"male : divorced/separated","none",1,"building society savings agreement/life insurance",33,"none",NA,1,"skilled employee/official",1,"no","yes",0
"920","... < 100 DM",24,"existing credits paid back duly till now","radio/television",3345,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"building society savings agreement/life insurance",39,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"921","no checking account",18,"critical account/other credits existing","radio/television",1817,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"unknown/no property",28,"none","own",2,"skilled employee/official",1,"no","yes",1
"922","no checking account",48,"delay in paying off in the past","domestic appliances",12749,"500 <= ... < 1000 DM","4 <= ... < 7 years",4,"male : single","none",1,"car or other",37,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"923","... < 100 DM",9,"existing credits paid back duly till now","domestic appliances",1366,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",1,"skilled employee/official",1,"no","yes",0
"924","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",2002,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",30,"none","rent",1,"skilled employee/official",2,"yes","yes",1
"925","... < 100 DM",24,"all credits at this bank paid back duly","radio/television",6872,"... < 100 DM","... < 1 year",2,"male : divorced/separated","none",1,"building society savings agreement/life insurance",55,"bank","own",1,"skilled employee/official",1,"yes","yes",0
"926","... < 100 DM",12,"all credits at this bank paid back duly",NA,697,"... < 100 DM","... < 1 year",4,"male : single","none",2,"car or other",46,"bank","own",2,"skilled employee/official",1,"yes","yes",0
"927","... < 100 DM",18,"critical account/other credits existing","radio/television",1049,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",21,"none","rent",1,"skilled employee/official",1,"no","yes",1
"928","... < 100 DM",48,"existing credits paid back duly till now",NA,10297,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"unknown/no property",39,"stores","for free",3,"skilled employee/official",2,"yes","yes",0
"929","no checking account",30,"existing credits paid back duly till now","domestic appliances",1867,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"car or other",58,"none","own",1,"skilled employee/official",1,"yes","yes",1
"930","... < 100 DM",12,"delay in paying off in the past","car (new)",1344,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",43,"none","own",2,"unskilled - resident",2,"no","yes",1
"931","... < 100 DM",24,"existing credits paid back duly till now","radio/television",1747,"... < 100 DM","... < 1 year",4,"male : single","co-applicant",1,"building society savings agreement/life insurance",24,"none","own",1,"unskilled - resident",1,"no","no",1
"932","0 <= ... < 200 DM",9,"existing credits paid back duly till now","domestic appliances",1670,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"yes","yes",0
"933","no checking account",9,"critical account/other credits existing","car (new)",1224,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",1,"real estate",30,"none","own",2,"skilled employee/official",1,"no","yes",1
"934","no checking account",12,"critical account/other credits existing","domestic appliances",522,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",42,"none","own",2,"skilled employee/official",2,"yes","yes",1
"935","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",1498,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"car or other",23,"bank",NA,1,"skilled employee/official",1,"no","yes",1
"936","0 <= ... < 200 DM",30,"delay in paying off in the past","domestic appliances",1919,"100 <= ... < 500 DM","... < 1 year",4,"male : single","none",3,"unknown/no property",30,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes",0
"937","... >= 200 DM / salary for at least 1 year",9,"existing credits paid back duly till now","domestic appliances",745,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",28,"none","own",1,"unskilled - resident",1,"no","yes",0
"938","0 <= ... < 200 DM",6,"existing credits paid back duly till now","domestic appliances",2063,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",3,"car or other",30,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"939","0 <= ... < 200 DM",60,"existing credits paid back duly till now","retraining",6288,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",42,"none","for free",1,"skilled employee/official",1,"no","yes",0
"940","no checking account",24,"critical account/other credits existing",NA,6842,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",4,"building society savings agreement/life insurance",46,"none","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"941","no checking account",12,"existing credits paid back duly till now","car (new)",3527,"unknown/no savings account","... < 1 year",2,"male : single","none",3,"building society savings agreement/life insurance",45,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"942","no checking account",10,"existing credits paid back duly till now","car (new)",1546,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",31,"none","own",1,"unskilled - resident",2,"no","no",1
"943","no checking account",24,"existing credits paid back duly till now","radio/television",929,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",2,"car or other",31,"stores","own",1,"skilled employee/official",1,"yes","yes",1
"944","no checking account",4,"critical account/other credits existing","car (new)",1455,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"no","yes",1
"945","... < 100 DM",15,"existing credits paid back duly till now","radio/television",1845,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","guarantor",1,"building society savings agreement/life insurance",46,"none",NA,1,"skilled employee/official",1,"no","yes",1
"946","0 <= ... < 200 DM",48,"no credits taken/all credits paid back duly","car (new)",8358,"500 <= ... < 1000 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"car or other",30,"none","own",2,"skilled employee/official",1,"no","yes",1
"947","... < 100 DM",24,"all credits at this bank paid back duly","radio/television",3349,"500 <= ... < 1000 DM","... < 1 year",4,"male : single","none",4,"unknown/no property",30,"none","for free",1,"skilled employee/official",2,"yes","yes",0
"948","no checking account",12,"existing credits paid back duly till now","car (new)",2859,"unknown/no savings account","unemployed",4,"male : single","none",4,"unknown/no property",38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"949","no checking account",18,"existing credits paid back duly till now","radio/television",1533,"... < 100 DM","... < 1 year",4,"male : married/widowed","co-applicant",1,"building society savings agreement/life insurance",43,"none","own",1,"unskilled - resident",2,"no","yes",0
"950","no checking account",24,"existing credits paid back duly till now","domestic appliances",3621,"100 <= ... < 500 DM","... >= 7 years",2,"male : single","none",4,"car or other",31,"none","own",2,"skilled employee/official",1,"no","yes",0
"951","0 <= ... < 200 DM",18,"critical account/other credits existing","others",3590,"... < 100 DM","unemployed",3,"male : married/widowed","none",3,"car or other",40,"none","own",3,"unemployed/unskilled - non-resident",2,"yes","yes",1
"952","... < 100 DM",36,"delay in paying off in the past",NA,NA,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"car or other",24,"none","own",2,"skilled employee/official",1,"yes","yes",0
"953","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (used)",4113,"500 <= ... < 1000 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"no","yes",0
"954","no checking account",36,"existing credits paid back duly till now","radio/television",10974,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",2,"car or other",26,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"955","... < 100 DM",12,"existing credits paid back duly till now","car (new)",1893,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"yes","yes",1
"956","... < 100 DM",24,"critical account/other credits existing","domestic appliances",1231,"... >= 1000 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",57,"none","rent",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"957","... >= 200 DM / salary for at least 1 year",30,"critical account/other credits existing","domestic appliances",3656,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",49,"stores","own",2,"unskilled - resident",1,"no","yes",1
